nivel_bot,equipo_bot,objetivo_bot,bloque_bot,grupo_muscular,patron_movimiento_1,clasificacion,short_youtube_url,ejercicio,categoria_movimiento,score_funcional,tipo_rutina
Principiante,Accesorios funcionales,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Postural,https://youtu.be/5jDEulwWs04,Stability Ball Dead Bug,Core,1,movilidad_estabilidad
Principiante,Sin equipo,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/ncpMkhXAykg?si=a_b3ot2rsThtz4DE,Bodyweight Glute Bridge,Pierna,0,fuerza_hipertrofia
Principiante,Sin equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Rotational,Postural,https://youtu.be/tU-WZsouVjo?si=Ti1JUU03OqgnmtX6,Bodyweight Bird Dog,Core,3,movilidad_estabilidad
Principiante,Accesorios funcionales,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/2rbbUJR-Nx4?si=aAPlfM1RYBeErvZk,Stability Ball Russian Twist,Core,3,core_estabilidad
Principiante,Accesorios funcionales,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/ByXVlY2L3nw,Stability Ball Feet Elevated Crunch,Core,1,core_estabilidad
Intermedio,Calistenia / barras,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Calisthenics,https://youtu.be/RPBH_Dw5hUo?si=SqKs_FnqsPMuLdq0,Ring Hanging Knee Raise,Core,3,core_estabilidad
Principiante,Otro equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Calisthenics,https://youtu.be/W0RoAqlFzrA,Parallette Mountain Climber,Core,3,movilidad_estabilidad
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Chest,Horizontal Push,Calisthenics,https://youtu.be/Kbhl_O1N4aw,Parallette Push Up,Empuje,5,fuerza_hipertrofia
Intermedio,Sin equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Rotational,Postural,https://youtu.be/fGaqVUHB1aA,Bodyweight Knee Hover Bird Dog,Core,3,movilidad_estabilidad
Principiante,Accesorios funcionales,Core / estabilidad,Principal,Abdominals,Hip Flexion,Sin clasificar,https://youtu.be/n4UPDi5BuL0,Stability Ball V Up Pass,Core,1,core_estabilidad
Principiante,Sin equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Postural,https://youtu.be/jbWmbhElf3Q,Bodyweight Dead Bug,Core,1,movilidad_estabilidad
Principiante,Sin equipo,Core / estabilidad,Principal,Abdominals,Lateral Flexion,Sin clasificar,https://youtu.be/URWXz0DmE7s,Bodyweight Alternating Heel Taps,Core,1,core_estabilidad
Principiante,Sin equipo,Core / estabilidad,Principal,Hip Flexors,Hip Flexion,Sin clasificar,https://youtu.be/e_s7uBNPnow,Bodyweight Flutter Kicks,Core,-4,core_estabilidad
Principiante,Sin equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Calisthenics,https://youtu.be/Ns1NS9ThNhI,Bodyweight Kneeling Forearm Plank,Core,3,movilidad_estabilidad
Principiante,Sin equipo,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/GflQ_ymx9Nw,Bodyweight Seated Ab Circles,Core,3,core_estabilidad
Intermedio,Calistenia / barras,Core / estabilidad,Principal,Abdominals,Rotational,Calisthenics,Sin dato,Ring Hanging Oblique Knee Raise,Core,5,core_estabilidad
Principiante,Accesorios funcionales,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Sin clasificar,https://youtu.be/IfOtFv6zz8I,Stability Ball Stir the Pot,Core,1,movilidad_estabilidad
Intermedio,Sin equipo,Core / estabilidad,Principal,Abdominals,Rotational,Animal Flow,https://youtu.be/1jCudOtlLsc,Bodyweight Alternating Lateral Kick Through,Core,3,core_estabilidad
Intermedio,Calistenia / barras,Core / estabilidad,Principal,Hip Flexors,Hip Flexion,Calisthenics,https://youtu.be/Y7Ua1YRsqd0,Ring Hanging L Sit Flutter Kicks,Core,-2,core_estabilidad
Principiante,Otro equipo,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/qyZ0pAtgo_Y,Slam Ball Russian Twist,Core,3,core_estabilidad
Principiante,Peso libre,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,Sin dato,Dumbbell Crush Grip Otis Up,Core,1,core_estabilidad
Avanzado,Peso libre,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Lateral Flexion,Sin clasificar,https://youtu.be/Ec9Ymqhe5i4,Single Arm Dumbbell Side Plank Reach Through,Core,1,movilidad_estabilidad
Principiante,Otro equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Sin clasificar,https://youtu.be/QB2Gj1QGfjQ,Ab Wheel Kneeling Rollout,Core,1,movilidad_estabilidad
Principiante,Gimnasio / maquina,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/gQT76pz_X9Y,Cable Seated Crunch,Core,1,core_estabilidad
Principiante,Gimnasio / maquina,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/ToJeyhydUxU,Cable Kneeling Crunch,Core,1,core_estabilidad
